trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
89,DIV 6,250,2.48,25,0,25,0,2
90,DIV 1,200,2.874,31,31,0,0,2
91,DIV 7,50,3.151,38,0,38,0,2
92,DIV 2,100,2.778,32,32,0,0,2
93,DIV 2,0,2.904,29,29,0,0,2
94,DIV 6,150,3.119,39,0,39,0,2
95,DIV 6,250,4.458,45,5,40,5,2
96,DIV 3,200,2.748,26,26,0,0,2
97,DIV 6,50,3.129,35,2,33,2,2
98,DIV 6,100,2.887,35,0,35,0,2
99,DIV 6,0,2.648,28,0,28,0,2
100,DIV 2,150,2.594,31,31,0,0,2
101,DIV 7,250,3.322,55,0,55,0,2
102,DIV 6,200,2.963,33,0,33,0,2
103,DIV 7,50,3.04,47,0,47,0,2
104,DIV 6,100,4.822,37,5,32,5,2
105,DIV 1,0,3.18,30,30,0,0,2
106,DIV 2,150,4.817,37,33,4,4,2
107,DIV 7,250,4.149,53,0,53,0,2
108,DIV 2,200,4.229,42,38,4,4,2
1,DIV 3,100,3.065,16,16,0,0,3
2,DIV 7,150,4.149,29,0,29,0,3
3,DIV 7,50,3.245,25,0,25,0,3
4,DIV 6,200,3.033,17,0,17,0,3
5,DIV 7,0,4.256,25,0,25,0,3
6,DIV 3,250,4.891,32,24,8,8,3
7,DIV 3,100,4.639,13,13,0,0,3
8,DIV 7,150,4.218,34,0,34,0,3
9,DIV 6,50,3.53,24,0,24,0,3
10,DIV 1,200,3.849,34,34,0,0,3
11,DIV 6,0,4.157,23,0,23,0,3
12,DIV 6,250,5.607,30,4,26,4,3
13,DIV 3,100,2.77,16,16,0,0,3
14,DIV 3,150,3.491,16,16,0,0,3
15,DIV 1,50,3.526,30,30,0,0,3
16,DIV 7,200,3.99,39,0,39,0,3
17,DIV 3,0,2.655,15,15,0,0,3
18,DIV 5,250,3.104,10,0,10,0,3
19,DIV 2,100,3.285,23,23,0,0,3
20,DIV 7,150,3.886,28,0,28,0,3
21,DIV 1,50,3.565,32,32,0,0,3
22,DIV 7,200,3.495,28,0,28,0,3
23,DIV 5,0,2.201,8,0,8,0,3
24,DIV 6,250,4.51,29,4,25,4,3
25,DIV 7,100,4.324,27,0,27,0,3
26,DIV 3,150,5.274,28,23,5,5,3
27,DIV 6,50,4.191,29,5,24,5,3
28,DIV 6,200,4.369,29,5,24,5,3
